Description	CCS Group	ICD9	CCS
Other antepartum hemorrhage, delivered, with or without mention of antepartum condition	Mammography	64181	182
Retained foreign body of middle ear	Other OR upper GI therapeutic procedures	38583	094
Cholesterin granuloma of middle ear and mastoid	Other OR upper GI therapeutic procedures	38582	094
GASTROENTEROSTOMY NEC	Open prostatectomy	4439	114
LAP GASTROENTEROSTOMY (Begin 2004)	Other OR upper GI therapeutic procedures	4438	094
Aniseikonia	Exploratory laparotomy	36732	089
Anisometropia	Exploratory laparotomy	36731	089
Family history of colonic polyps	Residual codes; unclassified	V1851	259
Family history of other digestive disorders	Residual codes; unclassified	V1859	259
CLOS PERIPH NERVE BIOPSY	Other diagnostic nervous system procedures	0411	007
Bacterial infection in conditions classified elsewhere and of unspecified site - Streptococcus	Laminectomy, excision intervertebral disc	0410	003
Transient hypertension of pregnancy, postpartum condition or complication	Routine chest X-ray	64234	183
Premature rupture of membranes, antepartum condition or complication	Arterio- or venogram (not heart and head)	65813	191
Transient hypertension of pregnancy, unspecified as to episode of care or not applicable	Routine chest X-ray	64230	183
Transient hypertension of pregnancy, delivered , with or without mention of antepartum condition	Routine chest X-ray	64231	183
Transient hypertension of pregnancy, antepartum condition or complication	Routine chest X-ray	64233	183
DESTRUC-ELBOW LESION NEC	Other therapeutic procedures	8082	231
DESTRUC-WRIST LESION NEC	Other therapeutic procedures	8083	231
Exercise induced bronchospasm	Diagnostic dilatation and curettage (D&C)	49381	128
Follow-up examination, following treatment of healed fracture	Other therapeutic procedures	V674	231
Cough variant asthma	Diagnostic dilatation and curettage (D&C)	49382	128
Right bundle branch block and left anterior fascicular block	Kidney transplant	42652	105
Follow-up examination - Following surgery	Other aftercare	V670	257
Bundle branch block, unspecified	Kidney transplant	42650	105
Follow-up examination, following chemotherapy	Percutaneous transluminal coronary angioplast	V672	045
Closed fractures involving skull or face with other bones, without mention of intracranial injury, unspecified state of consciousness	Other Laboratory	80400	235
Unspecified follow-up examination	Other aftercare	V679	257
Subendocardial infarction, subsequent episode of care	Endoscopy and endoscopic biopsy of the urinar	41072	100
Subendocardial infarction, initial episode of care	Endoscopy and endoscopic biopsy of the urinar	41071	100
Subendocardial infarction, episode of care unspecified	Endoscopy and endoscopic biopsy of the urinar	41070	100
Hereditary spherocytosis	Other OR procedures on vessels of head and ne	2820	059
renal dialysis status	Spinal fusion	V451	158
Other postprocedural states - Cardiac device in situ	Kidney transplant	V450	105
Intestinal bypass or anastomosis status	Arthrocentesis	V453	155
Presence of cerebrospinal fluid drainage device	Other non-OR lower GI therapeutic procedures	V452	095
Arthrodesis status	Therapeutic radiology	V454	211
URINARY MANOMETRY	Home Health Services	8921	236
Open wound of foot except toe(s) alone, without mention of complication	Home Health Services	8920	236
Localized vascularization of cornea	Peritoneal dialysis	37061	091
Corneal neovascularization, unspecified	Peritoneal dialysis	37060	091
Deep vascularization of cornea	Peritoneal dialysis	37063	091
Pannus (corneal)	Peritoneal dialysis	37062	091
Systemic lupus erythematosus	Other radioisotope scan	7100	210
VULVAR ADHESIOLYSIS	Other radioisotope scan	7101	210
Sicca syndrome	Other radioisotope scan	7102	210
Dermatomyositis	Other radioisotope scan	7103	210
Polymyositis	Other radioisotope scan	7104	210
Eosinophilia myalgia syndrome	Therapeutic radiology	7105	211
Other specified diffuse diseases of connective tissue	Other radioisotope scan	7108	210
INCIS VULVA/PERINEUM NEC	Other radioisotope scan	7109	210
REPLACE PULMON VALVE NEC	Other non-OR lower GI therapeutic procedures	3526	095
Hemangioma of unspecified site	Spinal fusion	22800	158
Hemangioma of retina	Diagnostic cardiac catheterization, coronary	22803	047
REPLACE PULM VALV-TISSUE	Other non-OR lower GI therapeutic procedures	3525	095
Orbital cellulitis	Excision, lysis peritoneal adhesions	37601	090
Acute inflammation of orbit, unspecified	Excision, lysis peritoneal adhesions	37600	090
Orbital tenonitis	Excision, lysis peritoneal adhesions	37604	090
REPLACE MITR VALV-TISSUE	Other non-OR lower GI therapeutic procedures	3523	095
Hemangioma of other sites	Diagnostic cardiac catheterization, coronary	22809	047
Request for expert evidence	Administrative/social admission	V682	255
Malignant neoplasm of oropharynx, unspecified site	Diagnostic endocrine procedures	1469	011
Malignant neoplasm of other specified sites of oropharynx	Diagnostic endocrine procedures	1468	011
Malignant neoplasm of lateral wall of oropharynx	Diagnostic endocrine procedures	1466	011
Malignant neoplasm of tonsillar fossa	Diagnostic endocrine procedures	1461	011
Malignant neoplasm of tonsil	Diagnostic endocrine procedures	1460	011
DESTRUCT ESOPHAG LES NEC	Other gastrointestinal diagnostic procedures	4239	097
Other specified diseases of pericardium	Other gastrointestinal diagnostic procedures	4238	097
ENDOSC DESTRUC ESOPH LES (Begin 1989)	Other gastrointestinal diagnostic procedures	4233	097
LOCAL EXCIS ESOPHAG NEC	Other gastrointestinal diagnostic procedures	4232	097
LOC EXCIS ESOPH DIVERTIC	Other gastrointestinal diagnostic procedures	4231	097
Hemopericardium	Other gastrointestinal diagnostic procedures	4230	097
Other disorders of synovium, tendon, and bursa	Therapeutic radiology	72789	211
Acute suppurative otitis media without spontaneous rupture of eardrum	Other diagnostic radiology and related techni	38200	226
Acute suppurative otitis media with spontaneous rupture of eardrum	Other bowel diagnostic procedures	38201	092
Contracture of tendon (sheath)	Therapeutic radiology	72781	211
Laboratory Pathological - Cytology	Tracheostomy, temporary and permanent	311	034
Laxity of ligament	Therapeutic radiology	7284	211
Unspecified trauma to perineum and vulva, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of heart (echocardiogra	66491	193
Other specified disorders of metabolism	Hemodialysis	27789	058
LOS EXCIS PROSTATIC LES	Lumpectomy, quadrantectomy of breast	6061	166
Disorders of mitochondrial metabolism	Hemodialysis	27787	058
Other specified erythematous conditions	Magnetic resonance imaging	69589	198
SALIVARY OPERATION NEC	Aortic resection, replacement or anastomosis	2699	052
Other specified forms of effusion, except tuberculous	Other diagnostic procedures, female organs	51189	130
Malignant pleural effusion	Other OR therapeutic procedures on respirator	51181	042
Family history of psychiatric condition	Residual codes; unclassified	V170	259
Closed fracture of shaft of fibula with tibia	Extracorporeal shock wave, other than urinary	82322	230
Failed medical or unspecified induction of labor, antepartum condition or complication	Diagnostic ultrasound of urinary tract	65913	195
Closed fracture of shaft of tibia alone	Extracorporeal shock wave, other than urinary	82320	230
lactulose	Other OR therapeutic procedures on skin and b	6218	175
Benign neoplasm of unspecified site	Diagnostic cardiac catheterization, coronary	2299	047
Benign neoplasm of other specified sites	Diagnostic cardiac catheterization, coronary	2298	047
Benign neoplasm of lymph nodes	Diagnostic cardiac catheterization, coronary	2290	047
Other transposition of great vessels	Physical therapy exercises, manipulation, and	74519	213
Complete transposition of great vessels	Physical therapy exercises, manipulation, and	74510	213
Double outlet right ventricle	Physical therapy exercises, manipulation, and	74511	213
Corrected transposition of great vessels	Physical therapy exercises, manipulation, and	74512	213
ARTHRODESIS OF ELBOW	Other OR therapeutic procedures on joints	8124	162
Open wound of wrist, with tendon involvement	Home Health Services	88122	236
Heart valve replaced by transplant	Other OR lower GI therapeutic procedures	V422	096
Open wound of forearm, with tendon involvement	Home Health Services	88120	236
Open wound of elbow, with tendon involvement	Home Health Services	88121	236
phenelzine	Other OR therapeutic procedures on joints	8123	162
Biopsy of salivary gland; needle	Diagnostic procedures on nose, mouth and phar	42400	031
Osteoarthrosis, localized, secondary, lower leg	Electrographic cardiac monitoring	71526	203
Osteoarthrosis, localized, secondary, ankle and foot	Electrographic cardiac monitoring	71527	203
Osteoarthrosis, localized, secondary, hand	Electrographic cardiac monitoring	71524	203
Rheumatism, unspecified and fibrositis	Therapeutic radiology	7290	211
Myalgia and myositis, unspecified	Therapeutic radiology	7291	211
BACT SMEAR-LOWER URINARY	Superficial injury; contusion	9131	239
Abrasion or friction burn of elbow, forearm, and wrist, without mention of infection	Superficial injury; contusion	9130	239
Fasciitis, unspecified	Therapeutic radiology	7294	211
OPEN REDUC-METAC/CAR FX	Arterio- or venogram (not heart and head)	7923	191
OPEN FX REDUCTION NOS	Other fracture and dislocation procedure	7920	148
PARASITLOLGY-LOWER URIN	Superficial injury; contusion	9134	239
neomycin	Therapeutic radiology	7299	211
MICRO EXAM-LOW URIN NEC	Superficial injury; contusion	9139	239
Other and unspecified superficial injury of elbow, forearm, and wrist, without mention of infection	Superficial injury; contusion	9138	239
METACARP/CARP SEQUESTREC	Cancer chemotherapy	7704	224
Unspecified organ or tissue replaced by transplant	Residual codes; unclassified	V429	259
Osteoarthrosis, localized, secondary, site unspecified	Electrographic cardiac monitoring	71520	203
TESTICULAR OPERATION NEC	Other OR therapeutic procedures on skin and b	6299	175
female genital dis nec	Other OR therapeutic procedures on skin and b	6298	175
Hematocele, female, not elsewhere classified	Other OR therapeutic procedures on skin and b	6290	175
Injury to other intra-abdominal organs without mention of open wound into cavity, retroperitoneum	Other Laboratory	86804	235
Hyperplasia of prostate, unspecified, without urinary obstruction and other lower urinary symptoms (LUTS)	Other OR therapeutic procedures on musculoske	60090	164
Hyperplasia of prostate, unspecified, with urinary obstruction and other lower urinary symptoms (LUTS)	Other OR therapeutic procedures on musculoske	60091	164
Injury to other intra-abdominal organs without mention of open wound into cavity, unspecified intra-abdominal organ	Other Laboratory	86800	235
Encounter for occupational therapy	Rehabilitation care; fitting of prostheses; and adjustment of devices	V5721	254
Cracked tooth	Disorders of teeth and jaw	52181	136
Acute leukemia of unspecified cell type, in relapse	Other OR therapeutic procedures on musculoske	20802	164
Injury to other and multiple intra-abdominal organs without mention of open wound into cavity	Pathology	86809	234
Acute leukemia of unspecified cell type, without mention of having achieved remission	Incision of pleura, thoracentesis, chest drai	20800	039
brain conditions nec	Other non-OR lower GI therapeutic procedures	3488	095
Screening examination for leprosy (Hansen's disease)	Thyroidectomy, partial or complete	V742	010
Chronic duodenal ulcer without mention of hemorrhage or perforation, without mention of obstruction	Fetal monitoring	53270	139
Other specified infantile cerebral palsy	Endoscopic retrograde cannulation of pancreas	3438	082
Infantile cerebral palsy, unspecified	Endoscopic retrograde cannulation of pancreas	3439	082
Pouchitis	Complications of surgical procedures or medical care	56971	238
Congenital diplegia	Endoscopic retrograde cannulation of pancreas	3430	082
Congenital hemiplegia	Endoscopic retrograde cannulation of pancreas	3431	082
Congenital quadriplegia	Endoscopic retrograde cannulation of pancreas	3432	082
Infantile hemiplegia	Endoscopic retrograde cannulation of pancreas	3434	082
Scarring of conjunctiva	Peritoneal dialysis	37264	091
Primary focal hyperhidrosis	Nonoperative urinary system measurements	70521	200
gouty arthropathy	Other vascular catheterization, not heart	2740	054
INTESTINAL ANASTOM NOS	Other non-OR therapeutic procedures, male gen	4590	117
SM-TO-SM BOWEL ANASTOM	Ligation of fallopian tubes	4591	121
Pneumonia in other infectious diseases classified elsewhere	Removal of ectopic pregnancy	4848	122
Multiple myeloma and immunoproliferative neoplasms - Multiple myeloma	Other diagnostic procedures of respiratory tr	2030	040
EXCISION OF MOUTH NEC	Other vascular catheterization, not heart	2749	054
Unspecified circulatory system disorder	Other non-OR therapeutic procedures, male gen	4599	117
Villonodular synovitis, upper arm	Swan-Ganz catheterization for monitoring	71922	204
Villonodular synovitis, forearm	Swan-Ganz catheterization for monitoring	71923	204
Arthropathy, unspecified, upper arm	Swan-Ganz catheterization for monitoring	71692	204
Arthropathy, unspecified, forearm	Swan-Ganz catheterization for monitoring	71693	204
Arthropathy, unspecified, hand	Swan-Ganz catheterization for monitoring	71694	204
Herpes simplex meningitis	Colonoscopy and biopsy	05472	076
Arthropathy, unspecified, lower leg	Swan-Ganz catheterization for monitoring	71696	204
Villonodular synovitis, pelvic region and thigh	Swan-Ganz catheterization for monitoring	71925	204
Arthropathy, unspecified, other specified sites	Swan-Ganz catheterization for monitoring	71698	204
